name,city,country,IATA,latitude,longitude,population
Ahwaz Airport,Ahwaz,Iran,AWZ,31.3374004364,48.7620010376,4172260
Clayton J Lloyd International Airport,The Valley,Anguilla,AXA,18.2048,-63.055099,26747
Dimokritos Airport,Alexandroupolis,Greece,AXD,40.855899810791016,25.956300735473636,418639
Ataq Airport,Ataq,Yemen,AXK,14.551300048828123,46.82619857788086,601863
El Eden Airport,Armenia,Colombia,AXM,4.45278,-75.7664,1156251
Spring Point Airport,Spring Point,Bahamas,AXP,22.441799163800003,-73.97090148930002,53131
Arutua Airport,Arutua,French Polynesia,AXR,-15.248299598693848,-146.61700439453125,860
Akita Airport,Akita,Japan,AXT,39.6156005859375,140.218994140625,1081751
Axum Airport,Axum,Ethiopia,AXU,14.14680004119873,38.77280044555664,3342660
Coronel FAP Alfredo Mendivil Duarte Airport,Ayacucho,Peru,AYP,-13.154800415039062,-74.20439910888672,1014046
Ayers Rock Connellan Airport,Uluru,Australia,AYQ,-25.1861,130.975998,3648
Antalya International Airport,Antalya,Turkey,AYT,36.898701,30.800501,3037813
Phoenix-Mesa-Gateway Airport,Mesa,United States,AZA,33.30780029,-111.6549988,1953552
Shahid Sadooghi Airport,Yazd,Iran,AZD,31.9048995972,54.2765007019,1472657
Bateen Airport,Abu Dhabi,United Arab Emirates,AZI,24.428300857543945,54.458099365234375,280763
Andizhan Airport,Andizhan,Uzbekistan,AZN,40.7276992798,72.2939987183,869688
Kalamazoo Battle Creek International Airport,Kalamazoo,United States,AZO,42.234901428222656,-85.5521011352539,354176
Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,27.83760070800781,-0.1864140033721923,379822
Samaná El Catey International Airport,Samana,Dominican Republic,AZS,19.2670001984,-69.7419967651,777080
Bahrain International Airport,Bahrain,Bahrain,BAH,26.27079963684082,50.63359832763672,3199245
Batman Airport,Batman,Turkey,BAL,37.9290008545,41.1166000366,1594952
Ernesto Cortissoz International Airport,Barranquilla,Colombia,BAQ,10.8896,-74.7808,2969773
Baotou Airport,Baotou,China,BAV,40.560001373291016,109.99700164794922,3274702
Barnaul Airport,Barnaul,Russia,BAX,53.363800048828125,83.53849792480469,768650
Tautii Magheraus Airport,Baia Mare,Romania,BAY,47.65840148925781,23.46999931335449,747324
Barcelos Airport,Barcelos,Brazil,BAZ,-0.981292,-62.919601,20807
Balmaceda Airport,Balmaceda,Chile,BBA,-45.91609954833984,-71.68949890136719,145718
Biju Patnaik Airport,Bhubaneswar,India,BBI,20.2444000244,85.8178024292,23945548
Kasane Airport,Kasane,Botswana,BBK,-17.83289909362793,25.162399291992188,372852
Bario Airport,Bario,Malaysia,BBN,3.7338900566101074,115.47899627685548,221534
Berbera Airport,Berbera,Somalia,BBO,10.389200210571287,44.94110107421875,878857
Bacolod-Silay Airport,Bacolod,Philippines,BCD,10.7764,123.014999,1698476
Barcaldine Airport,Barcaldine,Australia,BCI,-23.5652999878,145.307006836,2143
Barcelona International Airport,Barcelona,Spain,BCN,41.2971,2.07846,5148390
L.F. Wade International International Airport,Bermuda,Bermuda,BDA,32.36399841308594,-64.67870330810547,66846
Bundaberg Airport,Bundaberg,Australia,BDB,-24.9039001465,152.319000244,59275
Bandar Lengeh Airport,Bandar Lengeh,Iran,BDH,26.531999588,54.824798584,217791
Syamsudin Noor Airport,Banjarmasin,Indonesia,BDJ,-3.4423599243164062,114.76300048828124,2801905
Bradley International Airport,Windsor Locks,United States,BDL,41.9388999939,-72.68319702149999,1894429
Husein Sastranegara International Airport,Bandung,Indonesia,BDO,-6.900629997253418,107.57599639892578,13046279
Bhadrapur Airport,Chandragarhi,Nepal,BDP,26.5708007812,88.07959747310001,10591326
Vadodara Airport,Baroda,India,BDQ,22.336201,73.226303,9845243
Brindisi – Salento Airport,Brindisi,Italy,BDS,40.6576,17.947001,981338
Bardufoss Airport,Bardufoss,Norway,BDU,69.055801391602,18.540399551392,9790
Benbecula Airport,Benbecula,United Kingdom,BEB,57.48109817504883,-7.362780094146728,50714
Belgrade Nikola Tesla Airport,Belgrade,Serbia,BEG,44.8184013367,20.3090991974,4943008
Kalimarau Airport,Tanjung Redep-Borneo Island,Indonesia,BEJ,2.1555,117.431999,481256
Val de Cans/Júlio Cezar Ribeiro International Airport,Belem,Brazil,BEL,-1.3792500495900002,-48.4762992859,5213594
Benina International Airport,Benghazi,Libya,BEN,32.096801757799994,20.2695007324,1099037
Brest Bretagne Airport,Brest,France,BES,48.447898864746094,-4.418540000915527,451587
Bethel Airport,Bethel,United States,BET,60.77980042,-161.8379974,5577
Bedourie Airport,Bedourie,Australia,BEU,-24.346099853515625,139.4600067138672,288
Beira Airport,Beira,Mozambique,BEW,-19.79640007019043,34.90760040283203,2360701
Beirut Rafic Hariri International Airport,Beirut,Lebanon,BEY,33.820899963378906,35.488399505615234,11877565
Bradford Regional Airport,Bradford,United States,BFD,41.8031005859375,-78.64009857177734,270108
Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,United States,BFF,41.87400055,-103.5960007,59886
Boeing Field King County International Airport,Seattle,United States,BFI,47.52999877929688,-122.302001953125,966590
Bijie Feixiong Airport,Bijie,China,BFJ,27.267066,105.472097,3756216
Meadows Field,Bakersfield,United States,BFL,35.43360138,-119.0569992,543938
Bram Fischer International Airport,Bloemfontein,South Africa,BFN,-29.0926990509,26.302400589,2251139
Belfast International Airport,Belfast,United Kingdom,BFS,54.6575012207,-6.21582984924,830631
Buri Ram Airport,Buri Ram,Thailand,BFV,15.229499816894531,103.25299835205078,1311214
Palonegro Airport,Bucaramanga,Colombia,BGA,7.1265,-73.1848,917180
Bangui M'Poko International Airport,Bangui,Central African Republic,BGF,4.39847993850708,18.518800735473636,2700642
Bingöl Çeltiksuyu Airport,Bingol,Turkey,BGG,38.8592605591,40.5959625244,875460
Sir Grantley Adams International Airport,Bridgetown,Barbados,BGI,13.0746002197,-59.4925003052,196557
Greater Binghamton/Edwin A Link field,Binghamton,United States,BGM,42.20869827,-75.97979736,311810
Bergen Airport Flesland,Bergen,Norway,BGO,60.29339981,5.218140125,532094
Bangor International Airport,Bangor,United States,BGR,44.80739974975586,-68.8281021118164,204095
Baghdad International Airport,Baghdad,Iraq,BGW,33.262500762900004,44.2346000671,11704507
Il Caravaggio International Airport,Bergamo,Italy,BGY,45.673901,9.70417,4487515
Hancock County-Bar Harbor Airport,Bar Harbor,United States,BHB,44.45000076,-68.3615036,85344
George Best Belfast City Airport,Belfast,United Kingdom,BHD,54.61809921264648,-5.872499942779541,725582
Woodbourne Airport,Woodbourne,New Zealand,BHE,-41.5182991027832,173.8699951171875,79874
Bisha Airport,Bisha,Saudi Arabia,BHH,19.984399795532227,42.62089920043945,729448
Comandante Espora Airport,Bahia Blanca,Argentina,BHI,-38.725,-62.1693,689411
Bhuj Airport,Bhuj,India,BHJ,23.2877998352,69.6701965332,3663186
Bukhara Airport,Bukhara,Uzbekistan,BHK,39.775001525878906,64.4832992553711,3158623
Birmingham-Shuttlesworth International Airport,Birmingham,United States,BHM,33.56290054,-86.75350189,1189722
Raja Bhoj International Airport,Bhopal,India,BHO,23.2875003815,77.3374023438,16938440
Broken Hill Airport,Broken Hill,Australia,BHQ,-32.0013999939,141.472000122,52414
Bharatpur Airport,Bharatpur,Nepal,BHR,27.678101,84.429398,6475286
Bhavnagar Airport,Bhaunagar,India,BHU,21.752199173,72.1852035522,5774876
Bahawalpur Airport,Bahawalpur,Pakistan,BHV,29.348100662231445,71.71800231933594,11426435
Birmingham International Airport,Birmingham,United Kingdom,BHX,52.4538993835,-1.74802994728,4865362
Beihai Airport,Beihai,China,BHY,21.5394,109.293999,8239178
Bastia-Poretta Airport,Bastia,France,BIA,42.55270004272461,9.48373031616211,501052
Frans Kaisiepo Airport,Biak,Indonesia,BIK,-1.190019965171814,136.10800170898438,223917
Billings Logan International Airport,Billings,United States,BIL,45.80770111083984,-108.54299926757812,237228
South Bimini Airport,Alice Town,Bahamas,BIM,25.6998996735,-79.2647018433,61193
Bilbao Airport,Bilbao,Spain,BIO,43.30110168457031,-2.9106099605560303,1937302
Biarritz-Anglet-Bayonne Airport,Biarritz-bayonne,France,BIQ,43.4683333,-1.5311111,1030101
Biratnagar Airport,Biratnagar,Nepal,BIR,26.48150062561035,87.26399993896484,13103795
Bismarck Municipal Airport,Bismarck,United States,BIS,46.77270126342773,-100.74600219726562,107817
Soummam Airport,Bejaja,Algeria,BJA,36.7120018005,5.0699200630200005,1904426
Bojnord Airport,Bojnourd,Iran,BJB,37.49300003051758,57.30820083618164,1094618
Båtsfjord Airport,Batsfjord,Norway,BJF,70.60050201416,29.691400527954,64938
Bemidji Regional Airport,Bemidji,United States,BJI,47.50939941,-94.93370056,85918
Banjul International Airport,Banjul,Gambia,BJL,13.338000297546388,-16.65220069885254,3884884
Bujumbura International Airport,Bujumbura,Burundi,BJM,-3.3240199089050293,29.318500518798828,4663720
Bahir Dar Airport,Bahar Dar,Ethiopia,BJR,11.608099937438965,37.32160186767578,3991388
Milas Bodrum International Airport,Bodrum,Turkey,BJV,37.25059890749999,27.6643009186,910071
Del Bajío International Airport,Del Bajio,Mexico,BJX,20.9935,-101.481003,4158214
Badajoz Airport,Badajoz,Spain,BJZ,38.891300201416016,-6.8213300704956055,359080
Buckland Airport,Buckland,United States,BKC,65.9815979004,-161.149002075,694
Branson Airport,Branson,United States,BKG,36.532082,-93.200544,339085
Kota Kinabalu International Airport,Kota Kinabalu,Malaysia,BKI,5.9372100830078125,116.0510025024414,2200464
Suvarnabhumi Airport,Bangkok,Thailand,BKK,13.681099891662598,100.74700164794922,22892227
Bakalalan Airport,Bakalalan,Malaysia,BKM,3.973999977111816,115.61799621582033,206089
Modibo Keita International Airport,Bamako,Mali,BKO,12.5335,-7.94994,12705372
Blackall Airport,Blackall,Australia,BKQ,-24.427799224900003,145.429000854,1925
Fatmawati Soekarno Airport,Bengkulu,Indonesia,BKS,-3.8637,102.338997,3134278
Raleigh County Memorial Airport,Beckley,United States,BKW,37.7873001099,-81.1241989136,142337
Bukavu Kavumu Airport,Bukavu/kavumu,Congo (Kinshasa),BKY,-2.3089799880981445,28.808799743652344,6535758
Bukoba Airport,Bukoba,Tanzania,BKZ,-1.332,31.8212,3161453
General José Antonio Anzoategui International Airport,Barcelona,Venezuela,BLA,10.111111,-64.692222,918733
Borlange Airport,Borlange,Sweden,BLE,60.422000885009766,15.515199661254885,136922
Bellingham International Airport,Bellingham,United States,BLI,48.79280090332031,-122.53800201416016,336756
Batna Airport,Batna,Algeria,BLJ,35.7521018982,6.308589935300001,1603989
Blackpool International Airport,Blackpool,United Kingdom,BLK,53.77170181274414,-3.0286099910736084,523255
Billund Airport,Billund,Denmark,BLL,55.7402992249,9.15178012848,1624445
Bologna Guglielmo Marconi Airport,Bologna,Italy,BLQ,44.5354,11.2887,2928530
Kempegowda International Airport,Bangalore,India,BLR,13.1979,77.706299,51849778
Scott AFB/Midamerica Airport,Belleville,United States,BLV,38.5452,-89.835197,178852
Chileka International Airport,Blantyre,Malawi,BLZ,-15.679100036621094,34.9739990234375,5736996
Stockholm-Bromma Airport,Stockholm,Sweden,BMA,59.354400634765625,17.941699981689453,506690
Broome International Airport,Broome,Australia,BME,-17.944700241088867,122.23200225830078,15949
Central Illinois Regional Airport at Bloomington-Normal,Bloomington,United States,BMI,40.47710037,-88.91590118,637803
Muhammad Salahuddin Airport,Bima,Indonesia,BMU,-8.5396499633789,118.68699645996,642098
Buon Ma Thuot Airport,Buonmethuot,Vietnam,BMV,12.668299675,108.120002747,2324816
Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,Algeria,BMW,21.375,0.923888981342,59518
Île Art - Waala Airport,Waala,New Caledonia,BMY,-19.720600128173828,163.66099548339844,5515
Nashville International Airport,Nashville,United States,BNA,36.1245002746582,-86.6781997680664,3194821
Boende Airport,Boende,Congo (Kinshasa),BNB,-0.2169999927282333,20.850000381469727,1741901
Beni Airport,Beni,Congo (Kinshasa),BNC,0.575,29.4739,7211036
