name,city,country,IATA,latitude,longitude,population
East Midlands Airport,East Midlands,United Kingdom,EMA,52.8311004639,-1.32806003094,3179508
Eday Airport,Eday,United Kingdom,EOI,59.19060134887695,-2.7722198963165283,25075
Erzincan Airport,Erzincan,Turkey,ERC,39.7102012634,39.5270004272,903422
Erfurt Airport,Erfurt,Germany,ERF,50.97980117797852,10.958100318908691,483957
Erzurum International Airport,Erzurum,Turkey,ERZ,39.9565010071,41.17020034789999,763527
Esenboğa International Airport,Ankara,Turkey,ESB,40.1281013489,32.995098114,8161005
Metz-Nancy-Lorraine Airport,Metz,France,ETZ,48.9821014404,6.25131988525,366431
"Harstad/Narvik Airport, Evenes",Harstad/Narvik,Norway,EVE,68.491302490234,16.678100585938,34697
Sveg Airport,Sveg,Sweden,EVG,62.04779815673828,14.422900199890137,64419
Exeter International Airport,Exeter,United Kingdom,EXT,50.73440170288086,-3.4138898849487305,700460
Elazığ Airport,Elazig,Turkey,EZS,38.6068992615,39.2914009094,1343038
Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,41.8002778,12.2388889,7655450
Friedrichshafen Airport,Friedrichshafen,Germany,FDH,47.6712989807,9.51148986816,830597
Karlsruhe Baden-Baden Airport,Karlsruhe/Baden-Baden,Germany,FKB,48.7793998718,8.08049964905,895263
Peretola Airport,Florence,Italy,FLR,43.810001,11.2051,1207758
Memmingen Allgau Airport,Memmingen,Germany,FMM,47.9888000488,10.2395000458,1039417
Münster Osnabrück Airport,Munster,Germany,FMO,52.134601593,7.68483018875,870899
Madeira Airport,Funchal,Portugal,FNC,32.697899,-16.7745,237307
Nîmes-Arles-Camargue Airport,Nimes,France,FNI,43.75740051269531,4.4163498878479,246859
Frankfurt am Main Airport,Frankfurt,Germany,FRA,50.033333,8.570556,13083169
Florø Airport,Floro,Norway,FRO,61.583599090576,5.0247201919556,60002
Figari Sud-Corse Airport,Figari,France,FSC,41.5005989074707,9.097780227661133,189732
Guernsey Airport,Guernsey,Guernsey,GCI,49.435001373291016,-2.601969957351685,917241
Gdańsk Lech Wałęsa Airport,Gdansk,Poland,GDN,54.37760162353516,18.46619987487793,4016796
Gällivare Airport,Gallivare,Sweden,GEV,67.13240051269531,20.814599990844727,70606
Gibraltar Airport,Gibraltar,Gibraltar,GIB,36.1511993408,-5.3496599197400005,773849
Glasgow International Airport,Glasgow,United Kingdom,GLA,55.8718986511,-4.43306016922,2162502
Gloucestershire Airport,Golouchestershire,United Kingdom,GLO,51.89419937133789,-2.167220115661621,257363
Şanlıurfa GAP Airport,Sanliurfa,Turkey,GNY,37.445663,38.895592,2586635
Genoa Cristoforo Colombo Airport,Genoa,Italy,GOA,44.4133,8.8375,841198
